reviews,category
cabin was very dirty and outdated,"['Hygiene', 'Cabin Environment', 'Aircraft Maintenance']"
luggage was not loaded,['Baggage Policies']
the most wonderful airline,"['Cabin Environment', 'Boarding Process']"
serve a warm meal with drinks and coffee,['Food & Beverages']
good value for money,['Value for Money']
delayed over 1 hour,['Punctuality']
awesome flight attendants,['Staff Behaviour']
my last trip with this airline,"['Cabin Environment', 'Boarding Process']"
worst possible customer care,['Brand Reputation']
courteous cabin crew,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
the staff were great,['Staff Behaviour']
fly with bassaka air again,['Cabin Environment']
worth paying more for better service,"['Staff Behaviour', 'Value for Money', 'In-flight Experience']"
it was delayed again,['Punctuality']
flights are frequently delayed,['Punctuality']
the worst airline experience,"['Cabin Environment', 'Brand Reputation', 'Boarding Process', 'In-flight Experience']"
experience has left a sour taste,['In-flight Experience']
ordered gluten free meal,['Food & Beverages']
weight checked for my hand luggage,['Baggage Policies']
level of unprofessionalism is shocking,['Staff Behaviour']
wouldn’t travel batik air again,['Cabin Environment']
experiencing the exceptional service,"['Staff Behaviour', 'In-flight Experience']"
staff were excellent,['Staff Behaviour']
the service was top-notch,"['Staff Behaviour', 'In-flight Experience']"
cabin clean and tidy,"['Hygiene', 'Cabin Environment']"
terrible is the plane meal,"['Food & Beverages', 'Aircraft Maintenance', 'Brand Reputation']"
were in excellent service,"['Staff Behaviour', 'In-flight Experience']"
not informed of flight cancellation,"['Ticket Booking & Pricing', 'Flight Cancellation']"
think twice before booking belavia,['Ticket Booking & Pricing']
asking for money rebooking flights,"['Ticket Booking & Pricing', 'Flight Cancellation']"
good value for money,['Value for Money']
staff was really nice,['Staff Behaviour']
very bad reputation,['Brand Reputation']
airport belavia employees really rude,"['Staff Behaviour', 'Cabin Environment']"
terrible service,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
don't think we'll fly bh air again,['Cabin Environment']
"shocking service, unhelpful staff","['Staff Behaviour', 'In-flight Experience']"
convenient flight from local airport,['Cabin Environment']
bh air customer review,['Cabin Environment']
bh air customer review,['Cabin Environment']
bh air customer review,['Cabin Environment']
bh air customer review,['Cabin Environment']
worse ground handling staff,"['Staff Behaviour', 'Baggage Policies']"
cannot select seat through online check-in,"['Seat Comfort', 'Wi-Fi & Connectivity', 'Boarding Process']"
waiting two years for the refund,"['Punctuality', 'Ticket Booking & Pricing', 'Compensation & Refund', 'Boarding Process']"
bhutan experience turned bad,['In-flight Experience']
"dirty interior, dirty food-cart","['Food & Beverages', 'Hygiene', 'Aircraft Maintenance', 'In-flight Experience']"
will never fly this airline ever again,"['Cabin Environment', 'Boarding Process']"
my worst experience,"['Brand Reputation', 'In-flight Experience']"
very high ticket flight,['Ticket Booking & Pricing']
the service was extremely bad,"['Staff Behaviour', 'In-flight Experience']"
it's always delayed,['Punctuality']
staff on board are just okay,"['Staff Behaviour', 'Miscellaneous']"
worst inflight entertainment,"['Inflight Entertainment', 'Brand Reputation', 'In-flight Experience']"
food was very poor,"['Food & Beverages', 'In-flight Experience']"
unfair policy towards its customers,"['Cabin Environment', 'Baggage Policies', 'Process & Policy']"
four months to get my money back,['Compensation & Refund']
don't recommend this airline,"['Cabin Environment', 'Boarding Process']"
excellent airline,"['Cabin Environment', 'Boarding Process']"
check-in easy and smooth,['Boarding Process']
friendly cabin crew,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
horrendous experience,['In-flight Experience']
"no assistance, no information","['Staff Behaviour', 'Customer Service', 'Accessibility Needs']"
airline has zero customer service skills,"['Staff Behaviour', 'Cabin Environment', 'Customer Service', 'Boarding Process', 'In-flight Experience']"
not honoured the refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
we had a terrible experience,"['Brand Reputation', 'In-flight Experience']"
avoid it by all means,['Brand Reputation']
one week later cancel flights,['Punctuality']
they practically sold more tickets than seats,"['Seat Comfort', 'Ticket Booking & Pricing', 'Aircraft Maintenance']"
avoid like the plague,['Brand Reputation']
charged 350 lei for check-in,['Boarding Process']
my flight with blue air got cancelled twice in 2 weeks,['Cabin Environment']
comfortable enough flight,"['Seat Comfort', 'In-flight Experience']"
not eligible for any compensation,['Compensation & Refund']
an utter disgrace,['Brand Reputation']
we left about seven hours late,['Punctuality']
sold its soul to the devil,['Aircraft Maintenance']
expect much better customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
very unhelpful offers,['Staff Behaviour']
forced to buy new tickets,['Ticket Booking & Pricing']
airline is super shady,"['Cabin Environment', 'Boarding Process']"
worst experience i’ve had,"['Brand Reputation', 'In-flight Experience']"
worst airline experience,"['Cabin Environment', 'Brand Reputation', 'Boarding Process', 'In-flight Experience']"
middle name change scam,['Ticket Booking & Pricing']
the worst service i have experienced,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
do not recommend this airline,"['Cabin Environment', 'Boarding Process']"
lack of customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
service is awful,"['Staff Behaviour', 'In-flight Experience']"
they offer no meals whatsoever,['Food & Beverages']
the worst airline ever,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
still waiting for compensation,"['Punctuality', 'Compensation & Refund', 'Boarding Process']"
pretty much guaranteed delay,"['Punctuality', 'Compensation & Refund']"
worst airline i ever used,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
they say payment was made,"['Ticket Booking & Pricing', 'Compensation & Refund']"
absolutely dreadful experience,['In-flight Experience']
very friendly service on board,"['Staff Behaviour', 'In-flight Experience']"
worst airline ever,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
the plane is dirty and old,"['Hygiene', 'Aircraft Maintenance']"
the boa service is the worst,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
service on the flight unacceptable,"['Staff Behaviour', 'In-flight Experience']"
flights very comfortable,"['Seat Comfort', 'In-flight Experience']"
no entertainment on the plane,"['Inflight Entertainment', 'Aircraft Maintenance', 'In-flight Experience']"
never use this airline again,"['Cabin Environment', 'Boarding Process']"
dragging their feet on refunding,"['Ticket Booking & Pricing', 'Compensation & Refund']"
an awful experience,['In-flight Experience']
i need my luggage,['Baggage Policies']
customer service is outstanding,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
the customer service of boutique air is terrible,"['Staff Behaviour', 'Cabin Environment', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
boutique was a novel experience,['In-flight Experience']
very unreliable airline,"['Cabin Environment', 'Boarding Process']"
horrible customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
terrible customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
plane departed nearly 3 hours late,"['Punctuality', 'Aircraft Maintenance']"
lost my bag for multiple days,['Baggage Policies']
not recommend this airline,"['Cabin Environment', 'Boarding Process']"
the plane had already left,['Aircraft Maintenance']
never booking again,['Ticket Booking & Pricing']
pleasant cabin crew,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
very good service on this route,"['Staff Behaviour', 'In-flight Experience']"
disagreeable flight attendant,['Staff Behaviour']
flight was delayed nearly 1 hour,['Punctuality']
service was outrageous,"['Staff Behaviour', 'In-flight Experience']"
the seats were excellent,['Seat Comfort']
the crew were awful,"['Staff Behaviour', 'In-flight Experience']"
rudeness of the ground staff,['Staff Behaviour']
experience has truly shocked me,['In-flight Experience']
highlight was the crew,"['Staff Behaviour', 'In-flight Experience']"
worst customer service ever,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
lack of action and customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
cabin crow was rude,"['Staff Behaviour', 'Cabin Environment']"
terrible customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
price was pretty outrageous,"['Value for Money', 'Ticket Booking & Pricing']"
the worse experience,['In-flight Experience']
worst service and worst passenger handling,"['Staff Behaviour', 'Baggage Policies', 'Brand Reputation', 'In-flight Experience']"
flights has been delayed,['Punctuality']
unprofessional customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
unprofessional and unorganised,['Staff Behaviour']
disgusting and unprofessional,['Staff Behaviour']
flights are always delayed,['Punctuality']
poor quality service,"['Staff Behaviour', 'In-flight Experience']"
absolutely awful service,"['Staff Behaviour', 'In-flight Experience']"
worst customer service ever,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
staff were professional and courteous,['Staff Behaviour']
never fly with this airline again,"['Cabin Environment', 'Boarding Process']"
we were promised a refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
still didn't refund me my money,"['Ticket Booking & Pricing', 'Compensation & Refund']"
the cabin crew were polite,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
never buy tickets in buta airways,"['Cabin Environment', 'Ticket Booking & Pricing']"
their service is very low level,"['Staff Behaviour', 'In-flight Experience']"
25 euros for carry on luggage,['Baggage Policies']
definitely the best low cost carrier,['Value for Money']
hand luggage is not included,['Baggage Policies']
a very poor experience,['In-flight Experience']
a very poor experience,['In-flight Experience']
flight was delayed by 10 hours,['Punctuality']
worst experience of personnel,"['Brand Reputation', 'In-flight Experience']"
definitely use the airline again,"['Cabin Environment', 'Boarding Process']"
unpleasant check in staff,['Staff Behaviour']
airfare was quite high,['Cabin Environment']
worst customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
us$130 to get my luggage on board,['Baggage Policies']
a good experience,['In-flight Experience']
baggage allowance wasn’t credited,['Baggage Policies']
aircraft noisy and vibrates,"['Cabin Environment', 'Aircraft Maintenance']"
is a nice airline,"['Cabin Environment', 'Boarding Process']"
luggage was bumped in ottawa,['Baggage Policies']
could not rebook my tickets,['Ticket Booking & Pricing']
not a great experience,['In-flight Experience']
good value company,['Value for Money']
denied to let me board,['Compensation & Refund']
flown cape air a few times - never again,"['Cabin Environment', 'Brand Reputation']"
cancelled late the night before,['Punctuality']
easily the worst airline experience we've ever had,"['Cabin Environment', 'Brand Reputation', 'Boarding Process', 'In-flight Experience']"
cape air customer service is closed,"['Staff Behaviour', 'Cabin Environment', 'Customer Service', 'In-flight Experience']"
wonderful crew,"['Staff Behaviour', 'In-flight Experience']"
truly the worst airline experience,"['Cabin Environment', 'Brand Reputation', 'Boarding Process', 'In-flight Experience']"
just a horrible experience,"['Brand Reputation', 'In-flight Experience']"
worst airline i have ever flown with,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
no refund has been made,"['Ticket Booking & Pricing', 'Compensation & Refund']"
the worst airline i’ve flown,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
they are reasonable,['Value for Money']
the service was lousy,"['Staff Behaviour', 'In-flight Experience']"
staff was very welcoming,['Staff Behaviour']
"nice airline, good food","['Food & Beverages', 'Cabin Environment', 'Boarding Process', 'In-flight Experience']"
new business class seats,['Seat Comfort']
cabin crew were very professional and courteous,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
impressive experience,['In-flight Experience']
an unremarkable experience,['In-flight Experience']
experience was wonderful,['In-flight Experience']
service was so so,"['Staff Behaviour', 'In-flight Experience']"
"no coffee, tea or drinks",['Food & Beverages']
price of premium economy is outrageous,"['Value for Money', 'Ticket Booking & Pricing']"
approach to handling claims is frustrating,"['Baggage Policies', 'Compensation & Refund']"
service and catering on both flights good,"['Food & Beverages', 'Staff Behaviour', 'In-flight Experience']"
why sell an unusable ticket,['Ticket Booking & Pricing']
do not recommend traveling with cayman airways,['Cabin Environment']
the delays are long,['Punctuality']
worst flying experience,"['Brand Reputation', 'In-flight Experience']"
staff were very unprofessional,['Staff Behaviour']
don't fly cayman airways,['Cabin Environment']
the worst airline experience,"['Cabin Environment', 'Brand Reputation', 'Boarding Process', 'In-flight Experience']"
worst airline ever!,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
never recommend this airline,"['Cabin Environment', 'Boarding Process']"
a commendation to the staff,['Staff Behaviour']
we were at the mercy of the airline,"['Cabin Environment', 'Boarding Process']"
airline is totally unorganized,"['Cabin Environment', 'Boarding Process']"
never use this airline again,"['Cabin Environment', 'Boarding Process']"
worst experience checking in,"['Brand Reputation', 'In-flight Experience']"
i am not impressed with cemair,['Cabin Environment']
best flying experience ever,['In-flight Experience']
the worst customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
a very decent experience,['In-flight Experience']
brutal airline,"['Cabin Environment', 'Boarding Process']"
we were told no compensation for this,"['Aircraft Maintenance', 'Compensation & Refund']"
terrible service/planning,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
somehow lost my baggage,['Baggage Policies']
horrible service now,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
amazing customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
the seat is super tight,['Seat Comfort']
comfortable business class,"['Seat Comfort', 'In-flight Experience']"
service on both flights was truly first class,"['Staff Behaviour', 'In-flight Experience']"
lovely crew,"['Staff Behaviour', 'In-flight Experience']"
the service was excellent,"['Staff Behaviour', 'In-flight Experience']"
service was friendly and responsive,"['Staff Behaviour', 'In-flight Experience']"
surprised about the seat quality,['Seat Comfort']
plenty of legroom,['Seat Comfort']
comfortable with good service,"['Seat Comfort', 'Staff Behaviour', 'In-flight Experience']"
horrific customer experience,['In-flight Experience']
overall i have no complaints,"['Customer Service', 'Brand Reputation']"
the cabin was spotlessly clean,"['Hygiene', 'Cabin Environment']"
economy seats were fine,['Seat Comfort']
strange and frustrating airline,"['Cabin Environment', 'Boarding Process']"
staff are unpleasant,['Staff Behaviour']
service on board is amazing,"['Staff Behaviour', 'In-flight Experience']"
very friendly in flight crew,"['Staff Behaviour', 'In-flight Experience']"
yet to receive my refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
highly recommend this airline,"['Cabin Environment', 'Boarding Process']"
requested a refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
the ticket price is cheap,"['Value for Money', 'Ticket Booking & Pricing']"
no cheaper than normal airlines,"['Value for Money', 'Cabin Environment', 'Boarding Process']"
worst airline i ever been on ,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
avoid flying this airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
cost to check baggage was $240,"['Value for Money', 'Baggage Policies']"
not able to check in online,"['Wi-Fi & Connectivity', 'Boarding Process']"
a delay of 5 hours 15,['Punctuality']
could not check in online,"['Wi-Fi & Connectivity', 'Boarding Process']"
all in all great flight experience,['In-flight Experience']
have not received a refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
i am still waiting to be reimbursed,"['Punctuality', 'Boarding Process']"
they are disgraceful,['Brand Reputation']
would fly this airline again,"['Cabin Environment', 'Boarding Process']"
flight has been changed,['Ticket Booking & Pricing']
disappointed with this airline,"['Cabin Environment', 'Boarding Process']"
experienced excellent customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
"supportive, understanding, and efficient","['Staff Behaviour', 'Customer Service', 'Accessibility Needs']"
surprised with punctuality and reliability,['Punctuality']
woeful customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
aircraft was more than perfect,"['Cabin Environment', 'Aircraft Maintenance']"
after 2 months nothing had been changed,['Ticket Booking & Pricing']
be very wary of this airline,"['Cabin Environment', 'Boarding Process']"
great choices of food,"['Food & Beverages', 'In-flight Experience']"
all services are unbundled,"['Staff Behaviour', 'In-flight Experience']"
really bad airline,"['Cabin Environment', 'Boarding Process']"
online check in is archaic,"['Wi-Fi & Connectivity', 'Boarding Process']"
rude flight attendants,['Staff Behaviour']
well done on customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
never been so poorly treated by any airline,"['Cabin Environment', 'Boarding Process']"
worst airline ever!,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
contour declined any refund,"['Ticket Booking & Pricing', 'Compensation & Refund', 'Boarding Process']"
cost $650 to change my flight,"['Value for Money', 'Ticket Booking & Pricing']"
worst airline i have ever flown with,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
special meals should be automatically included,['Food & Beverages']
"paid for business, changed to economy",['Ticket Booking & Pricing']
currently stranded at panama airport,['Cabin Environment']
very dishonest airline,"['Cabin Environment', 'Boarding Process']"
no customer service at all,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
simply the worst company,['Brand Reputation']
such a terrible airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
no service at all,"['Staff Behaviour', 'In-flight Experience']"
customer service remains highly unresponsive,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
the worst ever trip i had,['Brand Reputation']
corsair probably won't disappoint,['Cabin Environment']
overall good experience,['In-flight Experience']
friendlier than american airlines,"['Cabin Environment', 'Boarding Process']"
will never ever fly corsair again,['Cabin Environment']
not a single response,['Customer Service']
no space for backpack overhead,['Seat Comfort']
avoid if you can!,['Brand Reputation']
worst customer service i've ever encountered,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
rude and short tempered staff,['Staff Behaviour']
43 euros each to check our carry-on,['Baggage Policies']
flight attendants were not very friendly,['Staff Behaviour']
started with an hour delay,['Punctuality']
for the price i paid i was more than happy,"['Value for Money', 'Ticket Booking & Pricing']"
staff was nice and friendly,['Staff Behaviour']
first and last experience,['In-flight Experience']
duration of the delay was severe,['Punctuality']
we were refused boarding,['Boarding Process']
never again fly with cubana,['Brand Reputation']
our luggage was lost,['Baggage Policies']
"horrible, unprofessional airline ","['Staff Behaviour', 'Cabin Environment', 'Brand Reputation', 'Boarding Process']"
wonderful staff,['Staff Behaviour']
excellent service!,"['Staff Behaviour', 'In-flight Experience']"
flight was comfortable,"['Seat Comfort', 'In-flight Experience']"
worst experience ever,"['Brand Reputation', 'In-flight Experience']"
customer service was appalling,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
was the worst experience,"['Brand Reputation', 'In-flight Experience']"
danish air transport customer review,['Cabin Environment']
danish air transport customer review,['Cabin Environment']
danish air transport customer review,['Cabin Environment']
"the route, never again",['Brand Reputation']
great value for money,['Value for Money']
darwin airline customer review,"['Cabin Environment', 'Boarding Process']"
darwin airline customer review,"['Cabin Environment', 'Boarding Process']"
darwin airline customer review,"['Cabin Environment', 'Boarding Process']"
darwin airline customer review,"['Cabin Environment', 'Boarding Process']"
darwin airline customer review,"['Cabin Environment', 'Boarding Process']"
darwin airline customer review,"['Cabin Environment', 'Boarding Process']"
insufficient customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
across the plane from each other,['Aircraft Maintenance']
offered no compensation,['Compensation & Refund']
horrible experience with delta,"['Brand Reputation', 'In-flight Experience']"
i recommend delta air lines,"['Cabin Environment', 'Boarding Process']"
extremely bad service,"['Staff Behaviour', 'In-flight Experience']"
boarding was a mess,['Boarding Process']
"for the price, definitely not worth it","['Value for Money', 'Ticket Booking & Pricing']"
ignored by customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
they rejected my claim,['Compensation & Refund']
no regular drinking water,['Food & Beverages']
ground service the worst,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
i would not fly dragonair again,['Cabin Environment']
value for money is horrible,"['Value for Money', 'Brand Reputation']"
disappointed with in-flight meal,"['Food & Beverages', 'In-flight Experience']"
meal choice is better,['Food & Beverages']
cabin crew are very nice,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
seats are comfortable,"['Seat Comfort', 'In-flight Experience']"
"dependable, satisfactory service","['Staff Behaviour', 'In-flight Experience', 'Miscellaneous']"
a nice experience,['In-flight Experience']
nice hot lunch served,"['Food & Beverages', 'Cabin Environment']"
fantastic little airline,"['Cabin Environment', 'Boarding Process']"
very happy to fly druk air again,['Cabin Environment']
staff were lovely on board,['Staff Behaviour']
friendly and efficient cabin crew,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
plane did not have such a seat,"['Seat Comfort', 'Aircraft Maintenance']"
terrible airline customer service team,"['Staff Behaviour', 'Cabin Environment', 'Customer Service', 'Brand Reputation', 'Boarding Process', 'In-flight Experience']"
bad experience of turbulence,['In-flight Experience']
very horrible service,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
incompetent staff members,['Staff Behaviour']
satisfied of services and staff,"['Staff Behaviour', 'In-flight Experience']"
on time and reasonably comfortable,"['Seat Comfort', 'Punctuality', 'In-flight Experience']"
no accountability or service,"['Staff Behaviour', 'In-flight Experience']"
airline offered no help,"['Cabin Environment', 'Boarding Process']"
staff was well trained and very friendly,['Staff Behaviour']
inconsistent service levels,"['Staff Behaviour', 'In-flight Experience']"
avoid at all costs,"['Value for Money', 'Brand Reputation']"
the experience exceeded my expectations,['In-flight Experience']
disappointed in the customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
overall a great experience,['In-flight Experience']
worst airline i ever knew.,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
meal was so poor,['Food & Beverages']
best opinion about this airline,"['Cabin Environment', 'Boarding Process']"
helpful and professional,['Staff Behaviour']
they have denied compensation,['Compensation & Refund']
left my mobile in the seat pocket,['Seat Comfort']
a very bad experience,['In-flight Experience']
luggage delayed and damaged,"['Punctuality', 'Baggage Policies']"
worst transatlantic company,['Brand Reputation']
the best european holiday airline,"['Cabin Environment', 'Boarding Process']"
never fly this airline again!,"['Cabin Environment', 'Boarding Process']"
ignored by customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
worst service ever,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
the seats were old and torn,"['Seat Comfort', 'Aircraft Maintenance']"
trying to recover my luggage,['Baggage Policies']
couldn’t use entertainment system,"['Inflight Entertainment', 'In-flight Experience']"
waiting for compensation,"['Punctuality', 'Compensation & Refund', 'Boarding Process']"
professional cabin crew,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
a wonderful service,"['Staff Behaviour', 'In-flight Experience']"
crew were attentive and friendly,"['Staff Behaviour', 'In-flight Experience']"
the service was disastrous,"['Staff Behaviour', 'In-flight Experience']"
customer service was terrible,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
always some bad experience,['In-flight Experience']
service was good,"['Staff Behaviour', 'In-flight Experience']"
they have an awful service,"['Staff Behaviour', 'In-flight Experience']"
cancellation fees in this war environment,"['Cabin Environment', 'Ticket Booking & Pricing', 'Flight Cancellation']"
totally recommend ellinair,['Cabin Environment']
items stolen during baggage handling,['Baggage Policies']
nice and comfortable journey,"['Seat Comfort', 'In-flight Experience']"
staff is very good,['Staff Behaviour']
immaculate and smiling crew,"['Staff Behaviour', 'Punctuality', 'In-flight Experience']"
expensive considering the quality of service,"['Staff Behaviour', 'Value for Money', 'In-flight Experience']"
staff were friendly,['Staff Behaviour']
crew friendly and professional,"['Staff Behaviour', 'In-flight Experience']"
seats were comfortable,"['Seat Comfort', 'In-flight Experience']"
the most unprofessional staff,['Staff Behaviour']
the cabin is clean,"['Hygiene', 'Cabin Environment']"
i was hot and thirsty,['Cabin Environment']
emirates delayed flight,['Punctuality']
horrible customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
spaciousness and comfort,"['Seat Comfort', 'In-flight Experience']"
extortion of money for luggage,['Baggage Policies']
avoid like the plague,['Brand Reputation']
cheap food prices,"['Food & Beverages', 'Value for Money', 'Ticket Booking & Pricing', 'In-flight Experience']"
crew friendly and smiling,"['Staff Behaviour', 'In-flight Experience']"
will fly eswatini air again,['Cabin Environment']
seats were in a standard row,['Seat Comfort']
instructed my wife make seat upright,['Seat Comfort']
disgraceful service,"['Staff Behaviour', 'Brand Reputation', 'In-flight Experience']"
crew was friendly and professional,"['Staff Behaviour', 'In-flight Experience']"
etihad has cut down their service,"['Staff Behaviour', 'In-flight Experience']"
customer service was extremely poor,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
staff were excellent,['Staff Behaviour']
disgusting level of customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
still waiting for compensation,"['Punctuality', 'Compensation & Refund', 'Boarding Process']"
far behind emirates and qatar airways!,['Cabin Environment']
the staff were good,['Staff Behaviour']
airline told us lies,"['Cabin Environment', 'Aircraft Maintenance', 'Boarding Process']"
very bad in-flight services,"['Staff Behaviour', 'In-flight Experience']"
seats were absolutely tiny,['Seat Comfort']
never again,['Brand Reputation']
the most uncomfortable flight,"['Seat Comfort', 'In-flight Experience']"
refused to pay the compensation,['Compensation & Refund']
the worst flying experience,"['Brand Reputation', 'In-flight Experience']"
90€ extra for 2 extra small extra luggages,['Baggage Policies']
terrible customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
cabin crew were very helpful,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
my luggage wasn’t delivered,['Baggage Policies']
baggage was missing,['Baggage Policies']
not cheap; but reliable,['Value for Money']
cabin crew efficient,"['Staff Behaviour', 'Cabin Environment', 'In-flight Experience']"
a highly impressive experience,['In-flight Experience']
no priority check in or boarding,"['Accessibility Needs', 'Boarding Process']"
70 us dollars for a bag being 2kg overweight,['Baggage Policies']
food was plentiful and good,"['Food & Beverages', 'In-flight Experience']"
no priority boarding,"['Accessibility Needs', 'Boarding Process']"
avoid at all costs,"['Value for Money', 'Brand Reputation']"
lost our luggage,['Baggage Policies']
this airline is a clear disappointment,"['Cabin Environment', 'Boarding Process']"
plane seemed to be in good shape,['Aircraft Maintenance']
refusing to refund my money,"['Ticket Booking & Pricing', 'Compensation & Refund']"
worst i have used in many years of traveling,['Brand Reputation']
terrible experience,"['Brand Reputation', 'In-flight Experience']"
lost my luggage 8 days ago,['Baggage Policies']
customer service has not improved,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
"incompetence, rudeness, unreliability and overall poor service","['Staff Behaviour', 'In-flight Experience']"
worst airline i have ever dealt with,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
chosen to disregard my complaints,"['Customer Service', 'Brand Reputation']"
far eastern air transport customer review,['Cabin Environment']
far eastern air transport customer review,['Cabin Environment']
pleasant flying experience,['In-flight Experience']
terrible experience,"['Brand Reputation', 'In-flight Experience']"
definitely an affordable price,"['Value for Money', 'Ticket Booking & Pricing']"
they refuse a refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
do not fly this airline,"['Cabin Environment', 'Boarding Process']"
don't fly this airline,"['Cabin Environment', 'Boarding Process']"
airline had ceased flying,"['Cabin Environment', 'Boarding Process']"
i needed to pay double price,"['Value for Money', 'Ticket Booking & Pricing']"
no compensation offered,['Compensation & Refund']
attentiveness and kindness of the crew,"['Staff Behaviour', 'In-flight Experience']"
flight was terrible,['Brand Reputation']
worst airline ever,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
fiji airways were excellent,['Cabin Environment']
never fly fiji airways again,['Cabin Environment']
they served only one breakfast,['Food & Beverages']
poor customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
appalling experience with finnair,"['Cabin Environment', 'In-flight Experience']"
a shame on finnair,"['Cabin Environment', 'Brand Reputation']"
the seat was comfortable enough,"['Seat Comfort', 'In-flight Experience']"
poorest service during the dinner,"['Food & Beverages', 'Staff Behaviour', 'In-flight Experience']"
very poor service,"['Staff Behaviour', 'In-flight Experience']"
cramped seats,['Seat Comfort']
customer service is so bad,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
inadequate catering on long haul,['Food & Beverages']
unreliable airline,"['Cabin Environment', 'Boarding Process']"
terrible airline,"['Cabin Environment', 'Brand Reputation', 'Boarding Process']"
promised to consider a refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
to be avoided at all costs,"['Value for Money', 'Brand Reputation']"
a company to avoid,['Brand Reputation']
